PM2.5,PM10,O3,NO2,CO,SO2,AQI
33.34,95.68,32.95,20.27,2.6399999999999997,6.41,175.0
39.17,95.68,26.64,20.24,2.6399999999999997,9.17,174.0
34.0,95.68,17.17,20.1,2.6399999999999997,9.64,179.0
36.38,95.68,13.35,20.14,2.6399999999999997,10.65,177.0
38.35,95.68,18.59,20.16,2.6399999999999997,9.33,180.0
38.5,95.68,16.33,19.67,2.6399999999999997,10.37,274.0
39.61,95.68,5.38,14.84,2.6399999999999997,10.76,310.0
61.79,95.68,8.06,14.82,2.6399999999999997,12.39,303.0
43.22,95.68,37.87,14.82,2.6399999999999997,11.68,302.0
33.41,95.68,75.715,14.86,2.6399999999999997,12.96,302.0
36.9,95.68,54.01,14.85,2.6399999999999997,4.73,302.0
36.36,95.68,75.715,14.79,2.6399999999999997,8.86,302.0
32.64,95.68,62.31,14.84,2.6399999999999997,7.05,302.0
38.23,95.68,55.94,14.89,2.6399999999999997,10.9,302.0
39.86,95.68,75.715,14.83,2.6399999999999997,10.02,301.0
72.74,95.68,75.715,14.84,2.6399999999999997,4.23,302.0
43.2,95.68,59.99,14.86,2.6399999999999997,5.96,302.0
63.2,95.68,7.57,14.82,2.6399999999999997,3.69,302.0
64.73,95.68,12.13,14.82,2.6399999999999997,6.45,302.0
65.28,95.68,18.2,14.85,2.6399999999999997,6.13,301.0
67.86,95.68,16.53,14.87,2.6399999999999997,8.87,302.0
52.4,95.68,22.55,14.81,2.6399999999999997,9.89,301.0
33.33,95.68,33.58,14.89,2.6399999999999997,6.88,302.0
29.52,95.68,40.65,14.88,2.6399999999999997,8.56,301.0
15.53,95.68,34.18,14.85,2.6399999999999997,15.13,301.0
57.51,95.68,15.39,50.9,2.6399999999999997,8.73,118.0
50.24,95.68,13.61,12.31,2.6399999999999997,11.63,226.0
61.77,95.68,18.69,15.43,2.6399999999999997,8.1,276.0
46.93,95.68,19.03,11.47,2.6399999999999997,7.92,209.0
43.01,95.68,20.59,9.96,2.6399999999999997,11.58,179.0
42.06,95.68,28.09,11.35,2.6399999999999997,11.63,197.0
44.94,95.68,59.38,10.94,2.6399999999999997,5.85,229.0
29.58,95.68,42.9,9.94,2.6399999999999997,8.82,170.0
32.15,95.68,39.02,9.7,2.6399999999999997,9.2,164.0
36.33,95.68,43.35,12.88,2.6399999999999997,8.28,195.0
24.46,95.68,44.55,10.99,2.6399999999999997,12.59,220.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
27.08,95.68,12.46,12.25,2.6399999999999997,9.51,118.0
59.29,95.68,7.69,9.68,2.6399999999999997,5.98,217.0
65.32,95.68,4.74,9.62,2.6399999999999997,3.69,254.0
47.39,95.68,7.71,10.48,2.6399999999999997,7.72,241.0
43.88,95.68,11.53,19.75,2.6399999999999997,4.83,244.0
28.35,95.68,15.95,13.62,2.6399999999999997,7.47,243.0
3.59,95.68,20.38,14.17,2.6399999999999997,9.6,244.0
3.04,95.68,30.05,21.5,2.6399999999999997,13.73,327.0
19.14,95.68,29.36,30.6,2.6399999999999997,10.96,390.0
69.12,95.68,28.45,32.41,2.6399999999999997,15.63,231.0
76.41,95.68,31.49,34.7,2.6399999999999997,15.44,396.0
102.49,95.68,24.85,37.85,2.6399999999999997,25.39,731.0
127.94,95.68,15.17,28.38,2.6399999999999997,25.39,466.0
87.18,95.68,23.17,21.51,2.6399999999999997,6.98,230.0
99.73,95.68,20.91,30.23,2.6399999999999997,25.39,309.0
84.15,95.68,23.12,32.1,2.6399999999999997,19.37,519.0
92.12,95.68,29.97,32.5,2.6399999999999997,25.39,397.0
94.02,95.68,23.51,36.97,2.6399999999999997,24.88,517.0
132.9,95.68,31.96,34.86,2.6399999999999997,25.39,653.0
118.91,95.68,24.89,29.22,2.6399999999999997,25.39,355.0
91.41,95.68,6.25,23.45,2.6399999999999997,25.39,227.0
95.9,95.68,27.34,33.63,2.6399999999999997,25.39,316.0
132.9,95.68,17.41,32.98,2.6399999999999997,21.89,536.0
90.71,95.68,26.02,25.73,2.6399999999999997,17.89,370.0
108.68,95.68,19.56,32.87,2.6399999999999997,22.59,551.0
98.79,95.68,30.19,31.2,2.6399999999999997,25.39,393.0
132.9,95.68,75.715,34.71,2.6399999999999997,24.66,671.0
132.9,95.68,75.715,39.42,2.6399999999999997,25.39,969.0
132.9,95.68,53.98,35.22,2.6399999999999997,25.39,471.0
132.9,95.68,5.36,36.63,2.6399999999999997,25.39,529.0
92.71,95.68,72.86,30.65,2.6399999999999997,25.39,118.0
64.66,95.68,24.76,23.83,2.6399999999999997,25.39,213.0
78.14,95.68,35.56,28.93,2.6399999999999997,25.39,297.0
100.17,95.68,23.95,34.16,2.6399999999999997,25.39,605.0
132.9,95.68,26.43,39.1,2.6399999999999997,25.39,691.0
132.9,95.68,38.0,55.67,2.6399999999999997,20.47,971.0
114.84,95.68,30.19,40.31,2.6399999999999997,22.94,118.0
89.64,95.68,43.04,25.75,2.6399999999999997,25.39,270.0
51.72,95.68,66.58,21.15,1.89,25.39,188.0
54.59,95.68,42.43,18.33,2.31,19.08,114.0
46.5,95.68,61.56,12.1,1.22,13.73,143.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
122.54,95.68,60.66,44.2,2.6399999999999997,13.78,118.0
132.9,95.68,75.715,36.87,2.6399999999999997,21.24,557.0
132.9,95.68,30.84,42.21,2.6399999999999997,22.18,118.0
132.9,95.68,30.84,35.31,2.6399999999999997,25.39,536.0
132.9,95.68,27.9,50.11,2.6399999999999997,25.39,354.0
132.9,95.68,33.21,29.04,2.6399999999999997,25.39,381.0
127.64,95.68,47.33,31.91,2.6399999999999997,25.39,355.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
